nit,nombreempresa,year
4938747-2,BO GANG APPAREL,2012
6954392-5,CHICK BOSS GUATEMALA,2012
3876694-9,SUMCARSA,2012
5088681-9,TEJICOR,2012
5445748-3,LOS VOLCANES INDUSTRIES,2012
7736989-0,BOLLAG GUATEMALA,2012
742203-2,PAIDOSA,2012
5130351-5,S.W. GUATEMALA,2012
1251314-8,PALMAS DEL HORIZONTE,2012
1690059-6,REPSA,2012
120512-9,SANTA ROSA,2012
2899803-0,DE RUITER SAN PEDRO,2012
4401011-7,ACC,2012
1108-8,ACEROS PREFABRICADOS,2012
599717-8,MACROPLAST,2012
6380324-0,LEE CHO TEXTIL,2012
7339516-1,CORPACAM,2012
4290917-1,MAG ALCOHOLES,2012
5456278-3,PRECOSA,2012
7582369-1,LINKER,2012
6984681-2,NOVA CREATION,2012
1277510-k,MAVICRA,2012
1494325-5,DET-PON,2012
6009838-4,COAGIL,2012
2700871-1,BELLCAS EXPORTANDO,2012
4855662-9,DP INVERSIONES,2012
3897610-2,CAMEXPORT,2012
7660662-7,GRAND TEXTILE GUATEMALA,2012
4466459-1,ENK GUATEMALA,2012
3063897-6,KNITVILLE,2012
6366857-2,KV GUATEMALA,2012
3606125-5,JUNGWOO TEXTILES,2012
103907-5,CASA EXPORT LIMITED,2012
6686360-0,METALGRÁFICA,2012
783813-1,MOTRICO,2012
2354504-6,PANATEX,2012
2293487-1,AGROPECUARIA MARSO,2012
785420-K,AGROPECUARIA ORMA,2012
5867025-4,INTERFAST,2012
3486194-7,JERRY LEIGH,2012
4912763-2,TAE YOUNG WORLD,2012
152862-9,OLEFINAS,2012
747813-5,COMASA,2012
785355-6,"PANI-FRESH\,S.A.",2012
2591535-5,PIPSA,2012
6289701-2,HUNTER WARFIELD,2012
6817607-4,INTEBONSA,2012
101758-6,EXPRO,2012
156469-2,INA,2012
2968796-9,INDUSTRIAS CHICHIMECAS,2012
3948679-6,MEGATEX,2012
65811-1,IDEALSA,2012
7778495-2,TEXTILES GRAN FE,2012
7203-6,MONTESOL,2012
3371736-2,LAS CUMBRES,2012
6741972-0,NATURAL WOOD´S DESIGN,2012
576941-8,GUAPARQUE,2012
2412189-4,GUATISA,2012
507352-9,"INTERCORP\, S.A.",2012
2412184-3,LAMINATI,2012
7026343-4,TECNOFASHION,2012
7914447-0,TAE RIM,2012
586933-1,SICUSA,2012
3932283-1,AGRÍCOLA DECORATIVA,2012
576935-3,CENCO,2012
5168705-4,PALMAS DEL IXCAN,2012
6026818-2,MADA INDUSTRIAS GUATEMALA,2012
1494086-8,INDUSTRIAS IMP GUATEMALA,2012
2668131-5,SERVICIOS MANUFACTUREROS,2012
659775-0,"UNIVERSAL QUÍMICA\, S.A.",2012
816366-9,MERRIL,2012
581967-9,ORNAMENTALES MONTANA,2012
2689919-1,LAS TEJAS,2012
646578-1,TROPICULTIVOS,2012
5218187-1,LA LABRANZA,2012
678596-4,HELECHOS IMPERIALES,2012
1198556-9,COSTA SOL,2012
2946212-6,SEMILLAS DEL CAMPO,2012
2949457-5,SOL DEL CAMPO,2012
7749604-3,CCIPPP,2012
2825631-K,PUERTAS MAYA,2012
