CODIGO	DEPENDENCIA
1	Administración del Comercio Exterior
2	Análisis Económico
3	Archivo
4	Asuntos Jurídicos
5	Auditoria Interna
6	CENAME
7	Centro de Negocios
8	Despacho
9	DIACO
10	Gerencia General
11	Mipyme
12	Política Comercial Externa
13	Politica Industrial
14	Programa de Apoyo al Comercio Exterior
15	Programas y Proyectos
16	Promocion de la Competencia
17	Registro de Valores y Mercancias
18	Relaciones Públicas
19	Registro de Propiedad Intelectual
20	Secretaria
21	SIGEMINECO
22	Unión sindical
23	SITRAME
24	Subgerencia Administrativa
25	Subgerencia de Informática
26	Subgerencia de Recursos Humanos
27	Subgerencia Financiera
28	Vicedespacho de Integración y Comercio Exterior
29	Vicedespacho de Inversión y Competencia
30	Vicedespacho de la Mipyme
31	Proyecto Relex
32	Contraloria General de Cuentas
